Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
0,1,99,99,3,0,0
1,2,99,99,0,0,0
2,2,99,99,0,0,0
3,4,98,98,0,0,0
4,4,98,98,0,0,0
5,4,98,98,0,0,0
6,6,97,97,0,0,0
7,6,97,97,0,0,0
8,6,97,97,0,0,0
9,7,96,96,3,0,0
10,7,96,96,3,0,0
11,8,96,96,0,0,0
12,10,95,95,0,0,0
13,10,95,95,0,0,0
14,10,95,95,0,0,0
15,10,94,94,6,0,0
16,12,94,94,0,0,0
17,12,94,94,0,0,0
18,13,93,93,3,0,0
19,14,93,93,0,0,0
20,14,93,93,0,0,0
21,16,92,92,0,0,0
22,16,92,92,0,0,0
23,16,92,92,0,0,0
24,18,91,91,0,0,0
25,17,91,91,0,1,0
26,16,91,91,0,1,1
27,17,90,90,0,1,2
28,16,90,90,0,2,2
29,16,90,90,0,2,2
30,17,89,89,0,2,3
31,16,89,89,3,2,3
32,16,89,89,0,3,3
33,17,88,88,0,3,4
34,17,88,88,0,3,4
35,17,88,88,0,3,4
36,17,87,87,0,4,5
37,16,87,87,0,5,5
38,16,87,87,0,5,5
39,18,86,86,0,5,5
40,18,86,86,0,5,5
41,17,86,86,0,5,6
42,17,85,85,0,6,7
43,17,85,85,0,6,7
44,16,85,85,0,7,7
45,17,84,84,0,7,8
46,16,84,84,0,8,8
47,16,84,84,0,8,8
48,17,83,83,0,8,9
49,16,83,83,0,9,9
50,15,83,83,0,9,9
51,17,82,82,0,9,9
52,15,82,82,0,10,10
53,15,82,82,0,10,10
54,17,81,81,0,10,10
55,16,81,81,0,11,10
56,16,81,81,0,11,10
57,17,80,80,0,11,11
58,15,80,80,0,12,12
59,15,80,80,0,12,12
60,16,79,79,0,12,13
61,16,79,79,0,12,13
62,15,79,79,0,13,13
63,15,78,78,3,13,14
64,15,78,78,0,14,14
65,15,78,78,0,14,14
66,17,77,77,0,14,14
67,17,77,77,0,14,14
68,16,77,77,0,15,14
69,18,76,76,0,15,14
70,16,76,76,0,16,15
71,16,76,76,0,16,15
72,15,75,75,3,16,16
73,16,75,75,0,16,16
74,16,75,75,0,16,16
75,14,74,74,3,17,17
76,14,74,74,0,18,17
77,14,74,74,0,18,17
78,15,73,73,0,18,18
79,14,73,73,0,19,18
80,14,73,73,0,19,18
81,15,72,72,3,19,18
82,14,72,72,0,20,19
83,14,72,72,0,20,19
84,15,71,71,0,20,20
85,15,71,71,0,20,20
86,14,71,71,0,21,20
87,15,70,70,3,21,20
88,15,70,70,0,22,20
89,15,70,70,0,22,20
90,15,69,69,3,22,21
91,16,69,69,0,22,21
92,15,69,69,3,22,21
93,16,68,68,3,22,22
94,17,68,68,0,22,22
95,15,68,68,3,23,22
96,15,67,67,6,23,23
97,16,67,67,3,23,23
98,17,67,67,0,23,23
99,18,66,66,0,24,23
