Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
0,3,99,99,3,0,0
1,4,99,99,0,0,0
2,4,99,99,0,0,0
3,6,99,99,0,0,0
4,6,99,99,0,0,0
5,8,98,98,0,0,0
6,10,98,98,0,0,0
7,10,98,98,0,0,0
8,10,98,98,0,0,0
9,11,98,98,3,0,0
10,13,97,97,3,0,0
11,14,97,97,0,0,0
12,14,97,97,0,1,1
13,14,97,97,0,1,1
14,14,97,97,0,1,1
15,16,96,96,6,1,1
16,18,96,96,0,1,1
17,17,96,96,0,1,2
18,17,96,96,3,2,2
19,18,96,96,0,2,2
20,19,95,95,3,2,2
21,22,95,95,0,2,2
22,21,95,95,0,2,3
23,20,95,95,0,3,3
24,22,95,95,0,3,3
25,22,94,94,3,3,3
26,22,94,94,0,3,3
27,21,94,94,0,4,4
28,20,94,94,0,4,4
29,20,94,94,0,4,4
30,21,93,93,6,4,4
31,22,93,93,3,4,4
32,21,93,93,0,4,5
33,22,93,93,0,4,5
34,21,93,93,0,5,5
35,23,92,92,0,5,5
36,23,92,92,0,5,5
37,21,92,92,0,6,5
38,20,92,92,0,6,6
39,22,92,92,0,6,6
40,24,91,91,0,6,6
41,23,91,91,0,6,6
42,23,91,91,0,6,6
43,22,91,91,0,7,6
44,20,91,91,0,7,7
45,23,90,90,0,7,7
46,22,90,90,0,7,7
47,20,90,90,0,8,8
48,21,90,90,0,8,8
49,20,90,90,0,8,8
50,21,89,89,0,8,8
51,23,89,89,0,8,8
52,19,89,89,0,9,9
53,19,89,89,0,9,9
54,21,89,89,0,9,9
55,22,88,88,0,9,9
56,22,88,88,0,9,9
57,21,88,88,0,10,10
58,19,88,88,0,10,10
59,19,88,88,0,10,10
60,21,87,87,3,10,10
61,22,87,87,0,10,10
62,19,87,87,0,11,11
63,19,87,87,3,11,11
64,19,87,87,0,11,11
65,20,86,86,3,11,11
66,23,86,86,0,11,11
67,21,86,86,0,12,12
68,20,86,86,0,12,12
69,22,86,86,0,12,12
70,22,85,85,0,12,12
71,22,85,85,0,12,12
72,20,85,85,3,13,12
73,21,85,85,0,13,12
74,20,85,85,0,13,13
75,20,84,84,3,13,13
76,20,84,84,0,13,13
77,19,84,84,0,14,13
78,20,84,84,0,14,13
79,19,84,84,0,14,13
80,20,83,83,0,14,14
81,21,83,83,3,14,14
82,19,83,83,0,14,15
83,17,83,83,0,15,15
84,18,83,83,0,15,15
85,20,82,82,0,15,15
86,19,82,82,0,15,15
87,18,82,82,3,16,16
88,18,82,82,0,16,16
89,18,82,82,0,16,16
90,20,81,81,3,16,16
91,21,81,81,0,16,16
92,19,81,81,3,17,16
93,20,81,81,3,17,16
94,21,81,81,0,17,16
95,20,80,80,6,17,16
96,21,80,80,6,17,16
97,21,80,80,3,18,16
98,21,80,80,0,18,17
99,22,80,80,0,18,17
