Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
0,1,99,99,3,0,0
1,2,99,99,0,0,0
2,2,99,99,0,0,0
3,2,99,99,0,0,0
4,2,99,99,0,0,0
5,4,98,98,0,0,0
6,4,98,98,0,0,0
7,4,98,98,0,0,0
8,4,98,98,0,0,0
9,4,98,98,0,0,0
10,6,97,97,0,0,0
11,6,97,97,0,0,0
12,6,97,97,0,0,0
13,6,97,97,0,0,0
14,6,97,97,0,0,0
15,7,96,96,3,0,0
16,8,96,96,0,0,0
17,8,96,96,0,0,0
18,8,96,96,0,0,0
19,8,96,96,0,0,0
20,9,95,95,3,0,0
21,10,95,95,0,0,0
22,10,95,95,0,0,0
23,10,95,95,0,0,0
24,10,95,95,0,0,0
25,12,94,94,0,0,0
26,12,94,94,0,0,0
27,12,94,94,0,0,0
28,12,94,94,0,0,0
29,12,94,94,0,0,0
30,12,93,93,6,0,0
31,13,93,93,3,0,0
32,14,93,93,0,0,0
33,13,93,93,3,0,0
34,14,93,93,0,0,0
35,14,92,92,6,0,0
36,16,92,92,0,0,0
37,16,92,92,0,0,0
38,16,92,92,0,0,0
39,16,92,92,0,0,0
40,18,91,91,0,0,0
41,18,91,91,0,0,0
42,18,91,91,0,0,0
43,18,91,91,0,0,0
44,18,91,91,0,0,0
45,18,90,90,6,0,0
46,20,90,90,0,0,0
47,20,90,90,0,0,0
48,20,90,90,0,0,0
49,20,90,90,0,0,0
50,20,89,89,3,0,0
51,21,89,89,0,0,0
52,21,89,89,0,0,0
53,21,89,89,0,0,0
54,21,89,89,0,0,0
55,22,88,88,3,0,0
56,22,88,88,3,0,0
57,21,88,88,6,0,0
58,23,88,88,0,0,0
59,23,88,88,0,0,0
60,24,87,87,3,0,0
61,24,87,87,3,0,0
62,25,87,87,0,0,0
63,25,87,87,0,0,0
64,25,87,87,0,0,0
65,26,86,86,3,0,0
66,27,86,86,0,0,0
67,26,86,86,3,0,0
68,27,86,86,0,0,0
69,27,86,86,0,0,0
70,29,85,85,0,0,0
71,28,85,85,3,0,0
72,29,85,85,0,0,0
73,29,85,85,0,0,0
74,29,85,85,0,0,0
75,29,84,84,6,0,0
76,31,84,84,0,0,0
77,31,84,84,0,0,0
78,31,84,84,0,0,0
79,31,84,84,0,0,0
80,32,83,83,3,0,0
81,33,83,83,0,0,0
82,33,83,83,0,0,0
83,33,83,83,0,0,0
84,33,83,83,0,0,0
85,35,82,82,0,0,0
86,35,82,82,0,0,0
87,34,82,82,3,0,0
88,34,82,82,3,0,0
89,35,82,82,0,0,0
90,34,81,81,9,0,0
91,37,81,81,0,0,0
92,36,81,81,3,0,0
93,37,81,81,0,0,0
94,37,81,81,0,0,0
95,38,80,80,0,0,0
96,37,80,80,3,0,0
97,38,80,80,0,0,0
98,37,80,80,3,0,0
99,38,80,80,0,0,0
100,39,79,79,3,0,0
101,40,79,79,0,0,0
102,40,79,79,0,0,0
103,40,79,79,0,0,0
104,40,79,79,0,0,0
105,41,78,78,3,0,0
106,42,78,78,0,0,0
107,42,78,78,0,0,0
108,42,78,78,0,0,0
109,42,78,78,0,0,0
110,42,77,77,6,0,0
111,42,77,77,3,0,0
112,43,77,77,0,0,0
113,42,77,77,3,0,0
114,43,77,77,0,0,0
115,45,76,76,0,0,0
116,44,76,76,3,0,0
117,45,76,76,0,0,0
118,45,76,76,0,0,0
119,45,76,76,0,0,0
120,46,75,75,3,0,0
121,46,75,75,3,0,0
122,46,75,75,3,0,0
123,47,75,75,0,0,0
124,47,75,75,0,0,0
125,46,74,74,9,0,0
126,46,74,74,9,0,0
127,48,74,74,3,0,0
128,47,74,74,6,0,0
129,49,74,74,0,0,0
130,49,73,73,6,0,0
131,50,73,73,3,0,0
132,50,73,73,3,0,0
133,49,73,73,6,0,0
134,50,73,73,3,0,0
135,51,72,72,6,0,0
136,53,72,72,0,0,0
137,52,72,72,3,0,0
138,51,72,72,3,0,0
139,52,72,72,0,0,0
140,52,71,71,6,0,0
141,53,71,71,3,0,0
142,53,71,71,3,0,0
