Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
0,3,99,99,3,0,0
1,4,99,99,0,0,0
2,4,99,99,0,0,0
3,6,98,98,0,0,0
4,6,98,98,0,0,0
5,8,98,98,0,0,0
6,10,97,97,0,0,0
7,10,97,97,0,0,0
8,10,97,97,0,0,0
9,12,96,96,0,0,0
10,14,96,96,0,0,0
11,14,96,96,0,0,0
12,16,95,95,0,0,0
13,16,95,95,0,0,0
14,16,95,95,0,0,0
15,19,94,94,3,0,0
16,20,94,94,0,0,0
17,20,94,94,0,0,0
18,21,93,93,3,0,0
19,22,93,93,0,0,0
20,23,93,93,3,0,0
21,26,92,92,0,0,0
22,26,92,92,0,0,0
23,26,92,92,0,0,0
24,28,91,91,0,0,0
25,30,91,91,0,0,0
26,30,91,91,0,0,0
27,31,90,90,3,0,0
28,32,90,90,0,0,0
29,32,90,90,0,0,0
30,34,89,89,6,0,0
31,35,89,89,3,0,0
32,36,89,89,0,0,0
33,37,88,88,3,0,0
34,38,88,88,0,0,0
35,38,88,88,6,0,0
36,41,87,87,3,0,0
37,42,87,87,0,0,0
38,42,87,87,0,0,0
39,43,86,86,3,0,0
40,46,86,86,0,0,0
41,46,86,86,0,0,0
42,48,85,85,0,0,0
43,48,85,85,0,0,0
44,48,85,85,0,0,0
45,48,84,84,12,0,0
46,52,84,84,0,0,0
47,52,84,84,0,0,0
48,54,83,83,0,0,0
49,53,83,83,3,0,0
50,54,83,83,3,0,0
51,56,82,82,3,0,0
52,57,82,82,0,0,0
53,57,82,82,0,0,0
54,59,81,81,0,0,0
55,60,81,81,3,0,0
56,60,81,81,3,0,0
57,61,80,80,6,0,0
58,63,80,80,0,0,0
59,63,80,80,0,0,0
60,65,79,79,6,0,0
61,66,79,79,3,0,0
62,67,79,79,0,0,0
63,67,78,78,3,0,0
64,68,78,78,0,0,0
65,67,78,78,6,0,0
66,70,77,77,3,0,0
67,69,77,77,6,0,0
68,71,77,77,0,0,0
69,71,76,76,6,0,0
70,75,76,76,0,0,0
71,74,76,76,3,0,0
72,76,75,75,3,0,0
73,77,75,75,0,0,0
74,77,75,75,0,0,0
75,79,74,74,6,0,0
76,81,74,74,0,0,0
77,81,74,74,0,0,0
78,83,73,73,0,0,0
79,82,73,73,3,0,0
80,83,73,73,6,0,0
81,85,72,72,6,0,0
82,87,72,72,0,0,0
83,87,72,72,0,0,0
84,89,71,71,0,0,0
85,90,71,71,3,0,0
86,91,71,71,0,0,0
87,92,70,70,3,0,0
88,91,70,70,6,0,0
89,93,70,70,0,0,0
90,93,69,69,12,0,0
91,96,69,69,3,0,0
92,96,69,69,3,0,0
93,98,68,68,3,0,0
94,99,68,68,0,0,0
95,100,68,68,0,0,0
96,101,67,67,3,0,0
97,102,67,67,0,0,0
98,101,67,67,3,0,0
99,103,66,66,3,0,0
100,104,66,66,6,0,0
101,105,66,66,3,0,0
102,107,65,65,3,0,0
103,108,65,65,0,0,0
104,108,65,65,0,0,0
105,111,64,64,3,0,0
106,112,64,64,0,0,0
107,112,64,64,0,0,0
108,114,63,63,0,0,0
109,114,63,63,0,0,0
110,114,63,63,6,0,0
111,116,62,62,3,0,0
112,117,62,62,0,0,0
113,116,62,62,3,0,0
114,119,61,61,0,0,0
115,120,61,61,3,0,0
116,119,61,61,6,0,0
117,123,60,60,0,0,0
118,122,60,60,3,0,0
119,123,60,60,0,0,0
120,124,59,59,9,0,0
121,126,59,59,3,0,0
122,126,59,59,3,0,0
123,129,58,58,0,0,0
124,128,58,58,3,0,0
125,127,58,58,12,0,0
126,129,57,57,12,0,0
127,132,57,57,3,0,0
128,131,57,57,6,0,0
129,135,56,56,0,0,0
130,135,56,56,6,0,0
131,136,56,56,3,0,0
132,138,55,55,3,0,0
133,137,55,55,6,0,0
134,138,55,55,3,0,0
135,139,54,54,12,0,0
136,143,54,54,0,0,0
137,142,54,54,3,0,0
138,143,53,53,3,0,0
139,144,53,53,0,0,0
140,144,53,53,6,0,0
141,146,52,52,6,0,0
142,144,52,52,12,0,0
143,147,52,52,0,0,0
144,148,51,51,3,0,0
145,149,51,51,6,0,0
146,149,51,51,6,0,0
147,153,50,50,0,0,0
148,151,50,50,6,0,0
149,153,50,50,0,0,0
150,155,49,49,6,0,0
151,154,49,49,9,0,0
152,156,49,49,3,0,0
153,157,48,48,6,0,0
154,157,48,48,3,0,0
155,159,48,48,3,0,0
156,158,47,47,9,0,0
157,160,47,47,3,0,0
158,160,47,47,3,0,0
159,162,46,46,3,0,0
160,164,46,46,3,0,0
161,165,46,46,0,0,0
162,165,45,45,6,0,0
163,166,45,45,3,0,0
164,167,45,45,0,0,0
165,168,44,44,9,0,0
166,171,44,44,0,0,0
167,170,44,44,3,0,0
168,173,43,43,0,0,0
169,172,43,43,3,0,0
170,175,43,43,0,0,0
171,172,42,42,12,0,0
172,175,42,42,3,0,0
173,175,42,42,3,0,0
174,177,41,41,3,0,0
175,178,41,41,6,0,0
176,180,41,41,0,0,0
177,179,40,40,9,0,0
178,182,40,40,0,0,0
179,182,40,40,0,0,0
180,182,39,39,12,0,0
181,183,39,39,9,0,0
182,185,39,39,3,0,0
183,186,38,38,3,0,0
184,186,38,38,3,0,0
185,186,38,38,9,0,0
186,190,37,37,3,0,0
187,189,37,37,3,0,0
188,190,37,37,0,0,0
189,190,36,36,3,0,0
190,192,36,36,3,0,0
191,192,36,36,0,0,0
192,192,35,35,6,0,0
193,194,35,35,0,0,0
194,193,35,35,3,0,0
195,196,34,34,6,0,0
196,197,34,34,3,0,0
197,197,34,34,3,0,0
198,199,33,33,3,0,0
199,199,33,33,3,0,0
200,199,33,33,9,0,0
201,203,32,32,3,0,0
202,202,32,32,6,0,0
203,203,32,32,3,0,0
204,205,31,31,3,0,0
205,202,31,31,9,0,0
206,203,31,31,6,0,0
207,206,30,30,3,0,0
208,206,30,30,3,0,0
209,206,30,30,3,0,0
210,207,29,29,12,0,0
211,210,29,29,3,0,0
212,210,29,29,3,0,0
213,211,28,28,3,0,0
214,210,28,28,6,0,0
215,211,28,28,6,0,0
216,211,27,27,12,0,0
217,212,27,27,9,0,0
218,214,27,27,3,0,0
219,217,26,26,0,0,0
220,217,26,26,6,0,0
221,217,26,26,6,0,0
222,216,25,25,12,0,0
223,219,25,25,3,0,0
224,220,25,25,0,0,0
225,221,24,24,9,0,0
226,222,24,24,6,0,0
227,222,24,24,6,0,0
228,222,23,23,12,0,0
229,225,23,23,3,0,0
230,224,23,23,9,0,0
231,227,22,22,6,0,0
232,227,22,22,6,0,0
233,228,22,22,3,0,0
234,227,21,21,12,0,0
235,230,21,21,9,0,0
236,230,21,21,9,0,0
237,233,20,20,6,0,0
238,233,20,20,6,0,0
239,232,20,20,9,0,0
240,236,19,19,9,0,0
241,237,19,19,6,0,0
242,239,19,19,0,0,0
243,240,18,18,3,0,0
244,240,18,18,0,0,0
245,239,18,18,9,0,0
246,242,17,17,6,0,0
247,244,17,17,0,0,0
248,242,17,17,6,0,0
249,241,16,16,9,1,1
250,243,16,16,9,1,1
251,245,16,16,3,1,1
252,243,15,15,9,2,2
253,244,15,15,6,2,2
254,245,15,15,0,2,2
255,243,14,14,9,3,3
256,243,14,14,6,3,3
257,243,14,14,3,3,3
258,244,13,13,0,4,4
259,243,13,13,3,4,4
260,244,13,13,6,4,4
261,243,12,12,9,5,5
262,245,12,12,3,5,5
263,245,12,12,3,5,5
264,246,11,11,3,5,6
265,247,11,11,3,6,6
266,246,11,11,6,6,6
267,246,10,10,9,6,7
268,247,10,10,6,6,7
269,248,10,10,0,7,7
270,249,9,9,3,7,8
271,250,9,9,0,7,8
272,248,9,9,3,8,8
273,247,8,8,6,9,9
274,246,8,8,9,9,9
275,248,8,8,9,9,9
276,250,7,7,6,10,9
277,250,7,7,3,10,9
278,248,7,7,3,10,10
279,247,6,6,3,11,11
280,247,6,6,9,11,11
281,248,6,6,6,11,11
282,249,5,5,6,12,11
283,247,5,5,12,12,11
284,248,5,5,9,12,11
285,252,4,4,6,13,11
286,250,4,4,6,13,12
287,250,4,4,6,13,12
288,249,3,3,9,13,13
289,251,3,3,3,13,13
290,254,3,3,0,13,13
291,252,2,2,6,14,14
292,250,2,2,12,14,14
293,252,2,2,6,14,14
294,253,1,1,6,15,14
295,253,1,1,6,16,14
296,253,1,1,3,16,15
297,252,0,0,12,16,15
298,253,0,0,6,16,16
299,253,0,0,3,17,16
300,254,0,0,6,17,16
301,253,0,0,3,18,17
302,253,0,0,3,18,17
303,253,0,0,0,18,18
304,252,0,0,3,18,18
305,253,0,0,3,19,18
306,254,0,0,0,19,18
307,252,0,0,3,19,18
308,251,0,0,3,19,19
309,251,0,0,0,19,20
310,250,0,0,9,19,20
311,251,0,0,0,20,20
312,249,0,0,3,21,20
313,250,0,0,0,21,20
314,248,0,0,6,21,20
315,250,0,0,3,21,21
316,248,0,0,6,22,21
317,250,0,0,0,22,21
318,248,0,0,3,22,22
319,248,0,0,0,22,23
320,249,0,0,0,22,23
321,246,0,0,3,23,24
322,247,0,0,0,23,24
323,245,0,0,3,24,24
324,245,0,0,0,25,24
325,244,0,0,6,25,25
326,244,0,0,3,25,25
327,243,0,0,0,26,25
328,243,0,0,0,26,25
329,243,0,0,0,26,25
330,243,0,0,3,26,25
331,241,0,0,6,26,26
332,240,0,0,3,27,27
333,240,0,0,3,27,27
334,240,0,0,0,28,27
335,241,0,0,3,28,27
336,239,0,0,3,29,28
337,239,0,0,3,29,28
338,239,0,0,3,29,28
339,240,0,0,0,29,28
340,241,0,0,3,29,28
341,239,0,0,3,30,29
342,238,0,0,3,31,29
343,238,0,0,0,31,30
344,237,0,0,0,31,31
345,237,0,0,0,32,32
346,236,0,0,3,32,32
347,236,0,0,3,32,32
348,236,0,0,0,32,33
349,236,0,0,0,32,33
350,236,0,0,3,33,33
351,236,0,0,3,33,33
352,237,0,0,0,33,33
353,236,0,0,0,34,33
354,235,0,0,0,34,34
355,234,0,0,3,35,35
356,235,0,0,0,35,35
357,233,0,0,3,36,35
358,233,0,0,3,36,35
359,232,0,0,3,36,36
360,233,0,0,6,36,36
361,234,0,0,0,36,37
362,231,0,0,6,37,37
363,232,0,0,3,37,37
364,233,0,0,0,37,37
365,233,0,0,6,37,37
366,235,0,0,0,37,37
367,233,0,0,3,37,38
368,234,0,0,0,37,38
369,231,0,0,3,38,39
370,232,0,0,3,38,39
371,231,0,0,3,39,39
372,231,0,0,0,40,39
373,230,0,0,3,40,39
374,231,0,0,0,40,39
375,229,0,0,9,40,40
376,230,0,0,3,41,40
377,228,0,0,3,42,41
378,229,0,0,0,42,41
379,227,0,0,3,42,42
380,228,0,0,6,42,42
381,228,0,0,3,43,42
382,227,0,0,0,44,43
383,225,0,0,6,44,43
384,227,0,0,0,44,43
385,225,0,0,6,45,44
386,227,0,0,0,45,44
387,224,0,0,3,46,45
388,225,0,0,0,46,45
389,225,0,0,0,46,45
390,227,0,0,0,46,45
391,227,0,0,0,46,45
392,227,0,0,0,46,45
393,225,0,0,0,47,46
394,224,0,0,0,48,46
395,223,0,0,3,48,46
396,224,0,0,0,48,46
397,223,0,0,0,49,46
398,223,0,0,0,49,46
399,222,0,0,0,49,47
400,223,0,0,0,50,47
401,221,0,0,3,50,48
402,222,0,0,0,50,48
403,222,0,0,0,50,48
404,221,0,0,0,51,48
405,220,0,0,6,51,48
406,221,0,0,0,51,49
407,220,0,0,0,52,49
408,219,0,0,0,52,50
