Epoch,Input,Reservoir,Output
0,199,0,0
1,199,0,0
2,199,0,0
3,198,0,0
4,198,0,0
5,198,0,0
6,197,0,0
7,197,0,0
8,197,0,0
9,196,0,0
10,196,0,0
11,196,0,0
12,195,0,0
13,195,0,0
14,195,0,0
15,194,0,0
16,194,0,0
17,194,0,0
18,193,0,0
19,193,0,0
20,193,0,0
21,192,0,0
22,192,0,0
23,192,0,0
24,191,0,0
25,191,0,0
26,191,0,0
27,190,0,0
28,190,0,0
29,190,0,0
30,189,0,0
31,189,0,0
32,189,0,0
33,188,0,0
34,188,0,0
35,188,0,0
36,187,0,0
37,187,0,0
38,187,0,0
39,186,0,0
40,186,0,0
41,186,0,0
42,185,0,0
43,185,0,0
44,185,0,0
45,184,0,0
46,184,0,0
47,184,0,0
48,183,0,0
49,183,0,0
50,183,0,0
51,182,0,0
52,182,0,0
53,182,0,0
54,181,0,0
55,181,0,0
56,181,0,0
57,180,0,0
58,180,0,0
59,180,0,0
60,179,0,0
61,179,0,0
62,179,0,0
63,178,0,0
64,178,0,0
65,178,0,0
66,177,0,0
67,177,0,0
68,177,0,0
69,176,0,0
70,176,0,0
71,176,0,0
72,175,0,0
73,175,0,0
74,175,0,0
75,174,0,0
76,174,0,0
77,174,0,0
78,173,0,0
79,173,0,0
80,173,0,0
81,172,0,0
82,172,0,0
83,172,0,0
84,171,0,0
85,171,0,0
86,171,0,0
87,170,0,0
88,170,0,0
89,170,0,0
90,169,0,0
91,169,0,0
92,169,0,0
93,168,0,0
94,168,0,0
95,168,0,0
96,167,0,0
97,167,0,0
98,167,0,0
99,166,0,0
100,166,0,0
101,166,0,0
102,165,0,0
103,165,0,0
104,165,0,0
105,164,0,0
106,164,0,0
107,164,0,0
108,163,0,0
109,163,0,0
110,163,0,0
111,162,0,0
112,162,0,0
113,162,0,0
114,161,0,0
115,161,0,0
116,161,0,0
117,160,0,0
118,160,0,0
119,160,0,0
120,159,0,0
121,159,0,0
122,159,0,0
123,158,0,0
124,158,0,0
125,158,0,0
126,157,0,0
127,157,0,0
128,157,0,0
129,156,0,0
130,156,0,0
131,156,0,0
132,155,0,0
133,155,0,0
134,155,0,0
135,154,0,0
136,154,0,0
137,154,0,0
138,153,0,0
139,153,0,0
140,153,0,0
141,152,0,0
142,152,0,0
143,152,0,0
144,151,0,0
145,151,0,0
146,151,0,0
147,150,0,0
148,150,0,0
149,150,0,0
150,149,0,0
151,149,0,0
152,149,0,0
153,148,0,0
154,148,0,0
155,148,0,0
156,147,0,0
157,147,0,0
158,147,0,0
159,146,0,0
160,146,0,0
161,146,0,0
162,145,0,0
163,145,0,0
164,145,0,0
165,144,0,0
166,144,0,0
167,144,0,0
168,143,0,0
169,143,0,0
170,143,0,0
171,142,0,0
172,142,0,0
173,142,0,0
174,141,0,0
175,141,0,0
176,141,0,0
177,140,0,0
178,140,0,0
179,140,0,0
180,139,0,0
181,139,0,0
182,139,0,0
183,138,0,0
184,138,0,0
185,138,0,0
186,137,0,0
187,137,0,0
188,137,0,0
189,136,0,0
190,136,0,0
191,136,0,0
192,135,0,0
193,135,0,0
194,135,0,0
195,134,0,0
196,134,0,0
197,134,0,0
198,133,0,0
199,133,0,0
200,133,0,0
201,132,0,0
202,132,0,0
203,132,0,0
204,131,0,0
205,131,0,0
206,131,0,0
207,130,0,0
208,130,0,0
209,130,0,0
210,129,0,0
211,129,0,0
212,129,0,0
213,128,0,0
214,128,0,0
215,128,0,0
216,127,0,0
217,127,0,0
218,127,0,0
219,126,0,0
220,126,0,0
221,126,0,0
222,125,0,0
223,125,0,0
224,125,0,0
225,124,0,0
226,124,0,0
227,124,0,0
